"Run 1: Time (s)","Run 1: Temperature (°C)","Run 1: Temperature (°C)"
4.08,0.0,0.6
4.09,0.3,0.8
4.10,0.3,0.8
4.11,0.3,0.8
4.12,0.7,0.9
4.13,0.0,0.6
4.14,0.3,0.8
4.15,0.3,0.8
4.16,0.2,0.7
4.17,0.7,1.0
4.18,-0.0,0.6
4.19,0.3,0.8
4.20,0.3,0.7
4.21,0.3,0.7
4.22,0.8,0.9
4.23,-0.0,0.6
4.24,0.3,0.8
4.25,0.3,0.8
4.26,0.3,0.8
4.27,0.7,0.9
4.28,-0.0,0.6
4.29,0.3,0.7
4.30,0.3,0.8
4.31,0.2,0.8
4.32,0.8,0.9
4.33,0.0,0.6
4.34,0.3,0.8
4.35,0.3,0.8
4.36,0.2,0.7
4.37,0.8,0.9
4.38,0.0,0.7
4.39,0.3,0.7
4.40,0.2,0.7
4.41,0.2,0.7
4.42,0.7,0.9
4.43,0.0,0.6
4.44,0.3,0.8
4.45,0.3,0.8
4.46,0.2,0.7
4.47,0.7,0.9
4.48,0.0,0.6
4.49,0.3,0.8
4.50,0.3,0.7
4.51,0.2,0.8
4.52,0.7,0.9
4.53,0.1,0.6
4.54,0.3,0.7
4.55,0.3,0.7
4.56,0.3,0.7
4.57,0.7,0.9
4.58,0.1,0.6
4.59,0.3,0.7
4.60,0.2,0.7
4.61,0.4,0.8
4.62,0.7,0.9
4.63,0.1,0.7
4.64,0.3,0.7
4.65,0.3,0.8
4.66,0.2,0.7
4.67,0.6,0.9
4.68,0.1,0.7
4.69,0.3,0.7
4.70,0.3,0.8
4.71,0.2,0.7
4.72,0.6,0.9
4.73,0.1,0.6
4.74,0.3,0.7
4.75,0.2,0.7
4.76,0.3,0.7
4.77,0.6,0.8
4.78,0.1,0.7
4.79,0.3,0.7
4.80,0.2,0.7
4.81,0.2,0.7
4.82,0.6,0.8
4.83,0.1,0.6
4.84,0.2,0.7
4.85,0.2,0.7
4.86,0.2,0.7
4.87,0.6,0.8
4.88,0.1,0.6
4.89,0.3,0.7
4.90,0.2,0.7
4.91,0.3,0.7
4.92,0.6,0.8
4.93,0.1,0.6
4.94,0.3,0.7
4.95,0.4,0.7
4.96,0.2,0.6
4.97,0.6,0.8
4.98,0.1,0.6
4.99,0.3,0.7
5.00,0.4,0.7
5.01,0.2,0.6
5.02,0.6,0.8
5.03,0.1,0.6
5.04,0.3,0.7
5.05,0.3,0.7
5.06,0.2,0.7
5.07,0.6,0.8
5.08,0.2,0.6
5.09,0.3,0.7
5.10,0.3,0.7
5.11,0.2,0.6
5.12,0.5,0.8
5.13,0.2,0.6
5.14,0.2,0.7
5.15,0.3,0.7
5.16,0.2,0.7
5.17,0.6,0.8
5.18,0.1,0.6
5.19,0.2,0.6
5.20,0.2,0.7
5.21,0.2,0.6
5.22,0.6,0.8
5.23,0.2,0.6
5.24,0.2,0.6
5.25,0.3,0.7
5.26,0.2,0.6
5.27,0.6,0.8
5.28,0.2,0.6
5.29,0.2,0.6
5.30,0.4,0.7
5.31,0.2,0.6
5.32,0.6,0.8
5.33,0.1,0.6
5.34,0.2,0.6
5.35,0.3,0.6
5.36,0.2,0.7
5.37,0.6,0.8
5.38,0.1,0.6
5.39,0.2,0.6
5.40,0.3,0.6
5.41,0.3,0.7
5.42,0.6,0.8
5.43,0.1,0.6
5.44,0.1,0.6
5.45,0.4,0.7
5.46,0.2,0.6
5.47,0.6,0.8
5.48,0.1,0.6
5.49,0.2,0.6
5.50,0.2,0.6
5.51,0.3,0.7
5.52,0.6,0.8
5.53,0.1,0.6
5.54,0.1,0.6
5.55,0.3,0.6
5.56,0.2,0.6
5.57,0.6,0.8
5.58,0.1,0.6
5.59,0.2,0.6
5.60,0.3,0.6
5.61,0.2,0.6
5.62,0.6,0.8
5.63,0.1,0.6
5.64,0.2,0.6
5.65,0.2,0.6
5.66,0.2,0.6
5.67,0.6,0.8
5.68,0.2,0.6
5.69,0.3,0.6
5.70,0.3,0.6
5.71,0.3,0.6
5.72,0.6,0.8
5.73,0.2,0.6
5.74,0.2,0.6
5.75,0.2,0.6
5.76,0.2,0.7
5.77,0.5,0.8
5.78,0.2,0.6
5.79,0.3,0.6
5.80,0.2,0.6
5.81,0.3,0.6
5.82,0.5,0.8
5.83,0.1,0.6
5.84,0.2,0.6
5.85,0.3,0.7
5.86,0.2,0.6
5.87,0.5,0.7
5.88,0.2,0.6
5.89,0.2,0.6
5.90,0.2,0.6
5.91,0.2,0.6
5.92,0.5,0.8
5.93,0.2,0.6
5.94,0.2,0.6
5.95,0.3,0.6
5.96,0.2,0.6
5.97,0.6,0.8
5.98,0.2,0.6
5.99,0.2,0.6
6.00,0.2,0.6
6.01,0.3,0.6
6.02,0.5,0.7
6.03,0.2,0.6
6.04,0.2,0.6
6.05,0.3,0.7
6.06,0.2,0.6
6.07,0.6,0.7
6.08,0.2,0.6
6.09,0.3,0.6
6.10,0.3,0.6
6.11,0.2,0.5
6.12,0.6,0.7
6.13,0.2,0.6
6.14,0.3,0.6
6.15,0.2,0.5
6.16,0.2,0.5
6.17,0.5,0.7
6.18,0.2,0.5
6.19,0.2,0.6
6.20,0.2,0.6
6.21,0.2,0.6
6.22,0.6,0.7
6.23,0.2,0.6
6.24,0.2,0.5
6.25,0.2,0.6
6.26,0.1,0.5
6.27,0.6,0.7
6.28,0.2,0.5
6.29,0.2,0.5
6.30,0.4,0.6
6.31,0.2,0.5
6.32,0.6,0.7
6.33,0.2,0.5
6.34,0.2,0.6
6.35,0.2,0.6
6.36,0.2,0.5
6.37,0.6,0.7
6.38,0.2,0.5
6.39,0.2,0.6
6.40,0.4,0.6
6.41,0.1,0.5
6.42,0.6,0.7
6.43,0.2,0.5
6.44,0.2,0.5
6.45,0.3,0.6
6.46,0.0,0.4
6.47,0.6,0.7
6.48,0.2,0.5
6.49,0.2,0.5
6.50,0.2,0.6
6.51,-0.2,0.3
6.52,0.6,0.7
6.53,0.2,0.5
6.54,0.2,0.5
6.55,0.3,0.6
6.56,-0.3,0.3
6.57,0.6,0.7
6.58,0.2,0.6
6.59,0.3,0.5
6.60,0.2,0.5
6.61,-0.3,0.3
6.62,0.6,0.7
6.63,0.2,0.6
6.64,0.2,0.6
6.65,0.3,0.6
6.66,-0.3,0.3
